arm,game_id,model,run_id,turn,cost_usd,cum_cost_usd,frac_of_run,frac_of_spend,failed_step,outcome,e2_frontload_index,e2_status,e3_convergence_point,e3_status,e4_context_growth,e4_status,battery_turns,turn_axis_agrees
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,8,0.024419,0.155912,0.400000,0.352675,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,9,0.023803,0.179714,0.450000,0.406518,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,10,0.023037,0.202751,0.500000,0.458628,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,11,0.023596,0.226347,0.550000,0.512002,true,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,12,0.017491,0.243838,0.600000,0.551567,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,13,0.038591,0.282429,0.650000,0.638861,true,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,14,0.020925,0.303354,0.700000,0.686193,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,15,0.029672,0.333026,0.750000,0.753312,true,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,16,0.024893,0.357919,0.800000,0.809620,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,17,0.020630,0.378549,0.850000,0.856285,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,18,0.019978,0.398527,0.900000,0.901476,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,19,0.022040,0.420566,0.950000,0.951331,true,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-42306405,20,0.021516,0.442082,1.000000,1.000000,false,budget_exhausted,0.218827580,ok,0.900000000,ok,0.121673803,ok,20,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-55ea5593,1,0.025008,0.025008,1.000000,1.000000,false,,,insufficient-data,,insufficient-data,,insufficient-data,,
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,1,0.098211,0.098211,0.058824,0.075521,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,2,0.073504,0.171715,0.117647,0.132043,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,3,0.073854,0.245569,0.176471,0.188835,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,4,0.073964,0.319533,0.235294,0.245711,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,5,0.074174,0.393707,0.294118,0.302748,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,6,0.074484,0.468191,0.352941,0.360024,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,7,0.074594,0.542785,0.411765,0.417384,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,8,0.075044,0.617829,0.470588,0.475090,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,9,0.075154,0.692983,0.529412,0.532881,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,10,0.075364,0.768347,0.588235,0.590834,true,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,11,0.075574,0.843921,0.647059,0.648948,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,12,0.076024,0.919945,0.705882,0.707408,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
bare_cc,ar25-0c556536,claude-opus-5,bare_cc-ar25-claude-opus-5-2f8b6919,13,0.076374,0.996319,0.764706,0.766137,false,api_unusable,0.259969856,ok,0.941176471,ok,0.044736261,ok,17,true
